Streaming output truncated to the last 5000 lines.
Epoch 3/199:  83% 362/438 [06:56<01:07,  1.12it/s, loss=7.91][2025-11-17 02:37:53] Epoch 3, Loss: 7.9094
Epoch 3/199:  83% 363/438 [07:00<00:51,  1.46it/s, loss=7.81][2025-11-17 02:37:57] Epoch 3, Loss: 7.8070
Epoch 3/199:  83% 364/438 [07:01<02:18,  1.87s/it, loss=7.86][2025-11-17 02:37:57] Epoch 3, Loss: 7.8585
Epoch 3/199:  83% 365/438 [07:01<01:40,  1.37s/it, loss=7.73][2025-11-17 02:37:58] Epoch 3, Loss: 7.7288
Epoch 3/199:  84% 366/438 [07:01<01:13,  1.02s/it, loss=7.76][2025-11-17 02:37:58] Epoch 3, Loss: 7.7592
Epoch 3/199:  84% 367/438 [07:05<00:54,  1.29it/s, loss=7.65][2025-11-17 02:38:02] Epoch 3, Loss: 7.6507
Epoch 3/199:  84% 368/438 [07:05<01:56,  1.66s/it, loss=7.8] [2025-11-17 02:38:02] Epoch 3, Loss: 7.8038
Epoch 3/199:  84% 369/438 [07:05<01:24,  1.23s/it, loss=7.8][2025-11-17 02:38:02] Epoch 3, Loss: 7.8008
Epoch 3/199:  84% 370/438 [07:05<01:02,  1.09it/s, loss=7.8][2025-11-17 02:38:02] Epoch 3, Loss: 7.7998
Epoch 3/199:  85% 371/438 [07:10<00:47,  1.43it/s, loss=7.79][2025-11-17 02:38:06] Epoch 3, Loss: 7.7929
Epoch 3/199:  85% 372/438 [07:10<01:55,  1.75s/it, loss=7.79][2025-11-17 02:38:07] Epoch 3, Loss: 7.7853
Epoch 3/199:  85% 373/438 [07:10<01:23,  1.28s/it, loss=7.9] [2025-11-17 02:38:07] Epoch 3, Loss: 7.8956
Epoch 3/199:  85% 374/438 [07:10<01:01,  1.04it/s, loss=7.74][2025-11-17 02:38:07] Epoch 3, Loss: 7.7397
Epoch 3/199:  86% 375/438 [07:14<00:46,  1.37it/s, loss=7.88][2025-11-17 02:38:11] Epoch 3, Loss: 7.8753
Epoch 3/199:  86% 376/438 [07:14<01:39,  1.61s/it, loss=7.95][2025-11-17 02:38:11] Epoch 3, Loss: 7.9461
Epoch 3/199:  86% 377/438 [07:14<01:12,  1.18s/it, loss=7.82][2025-11-17 02:38:11] Epoch 3, Loss: 7.8152
Epoch 3/199:  86% 378/438 [07:14<00:53,  1.13it/s, loss=7.74][2025-11-17 02:38:11] Epoch 3, Loss: 7.7439
